n_der,scenarios,rho,eps,seed_count,centralized_expected_profit,admm_expected_profit,optimality_gap,relative_gap,centralized_runtime_seconds,admm_runtime_seconds,admm_iterations,communication_scalars,max_balance_error,mean_abs_balance_error,price_rmse,centralized_regularization,admm_regularization,experiment_wall_seconds
10,100,1.0,1e-08,2,6195927.114859821,6013256.837862557,182670.27699726447,0.02946451893819407,7.247048299992457,255.13805954996496,200.0,9600000.0,1.3877973459334392,0.02872034374933697,28.486354825677907,0.03205601435771451,0.0,262.72978579992196
30,100,1.0,1e-08,2,21295289.371717975,20418806.54656455,876482.8251534235,0.041159321302358706,25.421315100044012,753.2719530500472,200.0,28800000.0,2.117565727162416,0.10003133445972656,27.87153763625021,0.14707659712755183,0.0,779.6994955000118
50,100,1.0,1e-08,1,43597019.2597508,40877972.8380813,2719046.421669498,0.062367713844596454,47.85892920009792,1365.0780192000093,200.0,48000000.0,1.8699968737099326,0.14050256621988755,29.9807266749155,0.4666986573135997,0.0,1414.7132585999789
75,100,1.0,1e-08,1,65239669.73296213,61123425.63087088,4116244.102091253,0.06309418976122642,67.91980510007124,1735.486436199979,200.0,72000000.0,2.169249732541355,0.18064897187500692,27.265071956270848,0.7062098490347598,0.0,1806.0822993000038
100,100,1.0,1e-08,1,76195475.5082915,71828936.44356254,4366539.06472896,0.057307064961538284,218.84463710000273,2318.2912358000176,200.0,96000000.0,3.361150661475654,0.23237833875995836,27.30242963882084,0.7734534947360645,0.0,2540.5226977999555
