participant_count,scenarios,level,eps,seed_count,cagg_status,dagg_status,decentralized_aggregate_profit_usd,decentralized_market_profit_usd,decentralized_profit_with_imbalance_usd,decentralized_da_revenue_usd,decentralized_rt_revenue_usd,decentralized_penalty_cost_usd,aggregate_imbalance_penalty_usd,aggregate_imbalance_penalty_cost_usd,aggregate_imbalance_value_signed_usd,aggregate_imbalance_value_abs_usd,aggregate_imbalance_quantity_mwh,cagg_market_profit_usd,cagg_solve_seconds,cagg_wall_solve_seconds,cagg_build_seconds,cagg_total_seconds,dagg_solve_seconds,dagg_wall_solve_seconds,dagg_build_seconds,dagg_total_seconds,experiment_wall_seconds
10,100,high,1e-08,10,2.0,2.0,6189.907768398184,6189.907768398184,6189.1107202555995,5213.467339951741,1190.3326528976625,213.89222445121936,-0.797048142584831,4.415424077135777,-0.797048142584831,8.033800011686722,0.10961039954711764,6191.5983644751495,3.2975975036621095,3.3351605125033528,2.541318654094357,5.87647916659771,2.4813770771026613,2.5170653082983336,2.555081216600956,5.07214652489929,11.24764553749992
30,100,high,1e-08,10,2.0,2.0,21274.023578972752,21274.023578972752,21286.519899370218,17744.482749571627,3749.004313506445,219.4634841053195,12.496320397466775,25.52122991515802,12.496320397466775,63.53878022778281,0.8705290170111641,21256.224227444687,12.708478355407715,12.817393929001991,7.6010959958017335,20.418489924803726,8.632035374641418,8.740328462704202,7.791351616801694,16.531680079505897,37.80324787069985
50,100,high,1e-08,10,2.0,2.0,43644.718929665454,43644.718929665454,43665.919925995215,37280.04141265562,6760.868128985092,396.19061197525724,21.200996329758972,51.54678283071208,21.200996329758972,124.29456199118313,1.788939820543106,43608.90035216563,22.139834094047547,22.321015016702585,12.632811279196176,34.953826295898764,12.98112096786499,13.364086633600527,12.763278737306246,26.127365370906773,62.498156529199335
75,100,high,1e-08,10,2.0,2.0,65459.70153428505,65459.70153428505,65477.46811484416,55488.42185020181,10366.318648028937,395.03896394569944,17.766580559105545,66.96662342247055,17.766580559105545,151.69982740404663,2.143013157413385,65434.96148437275,34.128638076782224,34.410781074903205,19.06313636669656,53.47391744159977,20.567271184921264,20.84336246269813,19.08306137500913,39.92642383770726,95.54137249170745
100,100,high,1e-08,10,2.0,2.0,76516.16359848024,76516.16359848024,76527.60302439026,64807.640016107136,12110.742266393067,402.218684019962,11.439425910036357,59.410824049144196,11.439425910036357,130.26107400832475,1.864746941934405,76507.25884270544,197.9440850019455,198.32817385419912,25.429308425195632,223.75748227939476,32.53147065639496,32.89538998759817,25.492514137399848,58.38790412499802,285.0795719792019
