,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,1,ym_re,2.3462370599871186e-06,2.6134816459311724e-06,4.7294744196845016e-06,0.9113306906024746,7.846735282902836,2.8168484098923636e-06,5.955269310004553e-07,3.899618268409699e-07,2.2818169727201183e-07,2.0081580858394712e-07,1.9282406236334383e-07,0.2141767101174748,2.9022909700697905,1.0547020698517763e-07,2.0747798594367948e-07,1.3771173533782366,0.5382097059231701,0.6987244276243854,1.9830014205466078,5.11005777846898e-07,3.1882539664652286e-07,0.004436126058886001,2.2585041971714215e-07,2.7531802534680566e-07,16.476038444523535
i1,1,ym_re,2.3462617031507596e-06,2.613910228536332e-06,4.74614292305848e-06,1.6679732972039105,10.663923907187156,2.828470699320426e-06,6.020307837568203e-07,3.9729875307167447e-07,2.2769382155393317e-07,2.0091431370673308e-07,1.9239575963534726e-07,0.07592940318569416,1.915893180754544,1.054702038313518e-07,0.5358543695174987,10.229287585200842,1.0737976152659423,0.9083912716699696,4.659778009007676,0.4286750609364247,3.0028874920825635e-07,0.03795215693843494,2.2583683805825573e-07,2.752984498752304e-07,32.19747091888132
i2,1,ym_re,2.3463239443825835e-06,2.615397159327911e-06,2.8228896155968533e-05,6.940972628617291,25.383617969997616,0.14757834296856756,6.305540524135108e-07,4.131111564520541e-07,2.2846913021052173e-07,2.0056545290203407e-07,1.9257683926088323e-07,2.210955259682636e-07,1.1944584739110353,1.0547020474251263e-07,2.0728980537052342e-07,12.870347376399003,9.20411739802068,13.500639990406798,22.469223371424718,3.728286712397703,0.038094356316443326,1.9140347723338391,2.2581634501712253e-07,2.752572342781243e-07,97.3914072836167
i3,1,ym_re,2.346271032211132e-06,2.6140619530288157e-06,4.752777270640257e-06,4.586788651118098,31.90346377280312,2.8345835253366026e-06,6.043222403640101e-07,4.1171454779536754e-07,2.271421775938355e-07,2.003666918494085e-07,1.919332008128508e-07,0.0322903319647975,14.962623447589992,1.0547020221769773e-07,2.0869053155920963e-07,49.44131768108634,28.70790652406575,21.77928124061754,17.557045597079473,1.6416672508458539,0.13388109767217143,0.3644841447914253,2.2583198610621275e-07,2.7537512885028775e-07,171.11076473817502
i4,1,ym_re,2.3462951211116917e-06,2.61485396193976e-06,2.7784849319867315e-05,1.0159285620115115,6.185789749484493,0.01704545020206204,6.28602238622735e-07,3.9799748826975785e-07,2.2764091466431883e-07,2.0070839776637152e-07,1.9212033891803465e-07,2.2132341410665203e-07,0.1965749805037727,1.0547021377275358e-07,0.06870672994146193,12.36631369272677,13.20184443270599,3.3082531570484406,0.3286183168734198,0.24591499109570847,0.009627588311037924,5.4016474215206644e-06,2.258353893957335e-07,2.7536209651093724e-07,36.94465827361098
i5,1,ym_re,2.3462934442748302e-06,2.6148466988595213e-06,2.8197201226538038e-05,8.725224406734673,34.05412653403435,0.09949467670969792,6.051463413763435e-07,4.125422861602945e-07,2.2783795827726145e-07,2.006279751487272e-07,1.9221763199917454e-07,2.2098667976741483e-07,4.506824217266128,1.0547020047212287e-07,0.1795841191734833,110.13471918528306,40.497389745888334,5.225449102406336,19.611442543100377,1.83274978259959,0.024032612886423013,0.026907368203303618,2.2583793045273305e-07,2.7528385848396e-07,224.917979918578
i6,1,ym_re,2.346246680016919e-06,2.613663880094405e-06,4.739041515857795e-06,2.8779094307532533,15.329719896722704,2.8227861542492833e-06,5.986741228574718e-07,3.9986600523582764e-07,2.281257373022805e-07,2.007795982464615e-07,1.9224900822286445e-07,0.1041765836036901,0.7447272526869345,1.0550002515152085e-07,2.0871225723550216e-07,9.25541723009409,4.938485600708272,5.150012824549938,14.742569293607355,0.977771380890563,3.372110042120633e-07,0.04744372473994754,2.2583265911243194e-07,2.753793464720509e-07,54.168248512424746
i7,1,ym_re,2.3462781732099687e-06,2.6142156008439143e-06,4.7608277439903735e-06,2.5177792262573386,11.769700676280781,2.8394765613014998e-06,6.056237171534152e-07,4.1115753041651153e-07,2.276510082891e-07,2.0037044513789078e-07,1.9216941935071118e-07,2.212276235247423e-07,4.1611358209901335,1.0547020641715683e-07,0.05835637701300854,6.856769172183158,19.096506034496677,6.157326422113974,7.301344903498981,0.9452324845274984,0.024794726988596007,0.03181262558788524,2.2584530918078505e-07,2.752733229260533e-07,58.920773495524685
i8,1,ym_re,2.346283598323017e-06,2.6145404063716763e-06,5.5043052345788624e-06,3.7837487105505523,14.405122732840988,3.3378357890582646e-06,6.280058648444032e-07,3.935122943689424e-07,2.2718008308132266e-07,2.004454634395497e-07,1.921854371507879e-07,2.211555455606441e-07,0.5141508221916338,1.0547020566326988e-07,0.090907992649408,25.248685503554285,18.95548008867186,5.908451571096613,1.0159632858973255,0.9667524260291482,0.10922209593625277,6.014813529577707e-06,2.2583466284881783e-07,2.753620813806843e-07,70.99850751634827
i9,1,ym_re,2.3462755525688967e-06,2.61409650754361e-06,4.752991523177928e-06,3.0564039472392,12.194841782154253,2.8333742537451263e-06,6.284391306979698e-07,4.1070620232256713e-07,2.273599378903177e-07,2.0070833599275504e-07,1.9213886758646443e-07,2.2133499635364192e-07,0.2439203165074345,1.0547020883501338e-07,2.086126797697777e-07,9.932995573027075,3.619775905329564,4.270021899425584,1.2556960289634147,5.135879030429253e-07,3.187730246996227e-07,3.881880496315065e-06,2.258485472139535e-07,2.7529970848808837e-07,34.5736754095444
