,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.064536189884635,228.16306550303784,209.26000489754568,365.81023257848005,281.50970898848135,237.88532752473415,0.0,39.97831056029377,93.04049852689353,134.06285243395453,141.70368183388436,134.68795043578476,53.20705103705413,43.452365037094914,0.7587758108460222,0.0,0.0,2002.5843613579698
i1,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69994455758126,104.01383499519427,122.21651576995868,159.72773828982466,178.97196555718529,187.7157741016679,0.0,177.6023294222829,463.0525270233339,147.94538766041808,184.85517370652772,199.85457441208789,97.49170862179832,54.18752970829684,23.58266610099378,0.0,0.0,2112.9176699271516
i2,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.11776319036898,186.67861023631343,154.75536268200622,227.525631824894,0.0,139.22064271663587,492.16763370956295,835.5381954604441,540.7399553989961,772.6922893832584,351.2995061839332,121.87249181266793,129.52082682617737,8.687850224449505,12.047736668409012,4209.864496318117
i3,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.073944801736582,9.11454559749534,93.76244622455455,273.5093746692733,750.5899201452602,0.0,244.29043510250034,1083.6419658493064,1373.0252137967375,763.5974970907624,666.236396286854,278.9186433208846,242.43771026693446,142.3429050400487,0.0,0.0,5929.5409981923485
i4,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.713377919322287,42.50015025890358,67.75946036563454,46.60003891357267,66.96986720263159,47.96032457695531,0.0,90.88048023461648,452.28644751947246,544.0075343884206,148.48282736436005,51.18492655323936,104.09977207858309,31.797287862576518,19.36340129979589,0.0,0.0,1718.6058965380844
i5,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.508429484577,79.65044264200732,116.96664343214188,176.073175622168,448.8269306711567,0.0,402.5399852279775,1831.810236721411,1337.0839706067438,365.8539811309011,573.6163929775597,305.09636380821456,161.9570246681086,57.40164878183444,0.0,0.0,6028.385225774801
i6,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.205027528173348,160.17865547073586,262.20593954228207,203.7157223053624,227.9099995574621,161.85360529027815,0.0,100.34373242679463,279.80271586783493,262.70024693673275,353.7348233629099,681.0929961000953,165.19083582204283,75.72584751366416,16.925672360521496,0.0,0.0,2962.5858200848897
i7,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.819468307051718,20.610418149783726,55.13639699676227,115.9621465484414,244.9929410590452,0.0,92.36939843440868,350.7735177273736,536.363964550609,321.4347639395457,243.59903714227792,109.9605847931732,85.63726850329881,48.121339029924656,0.0,0.0,2253.781245181696
i8,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.771451746289134,58.06600539793948,73.4237696670639,85.83204760807665,87.48998220767206,159.86861261731127,0.0,194.76014949682457,823.8799776147755,857.8045443865781,410.6854709348296,176.68052109269374,171.14066325076013,109.94394625337193,58.95093615665266,0.0,0.0,3291.298078430839
i9,4,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.90336047415275,77.77717151884262,72.8255049797814,105.85375413555747,101.93853844730936,0.0,137.95639485307495,512.4568320526637,345.52872121597284,257.6662136481281,144.83558447425713,52.95854987505906,58.72473005135099,0.0,0.0,0.0,1945.4253557261504
