,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26088083466468,206.9929005798934,203.20117145392516,372.3742688175352,287.9617792154305,255.57219520405047,0.0,24.335100183714193,93.08284465590512,116.5397746292957,160.37524482366032,134.35191559311266,52.93402736410243,48.55869983577216,0.8271446694635816,0.0,0.0,2003.3679478605256
i1,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.835709893547417,81.08835326220168,162.50686950175015,163.27881693195494,175.8516305001787,182.54414118746135,0.0,182.792989367954,467.59303889078546,144.43157865472148,173.89583645830302,215.07999275790965,113.90147533777734,54.076346383874366,11.844553318301129,0.0,0.0,2147.7213324467207
i2,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.22107060528032,212.1856809335268,150.85004412998603,267.27650836821186,0.0,126.14080511124493,464.7942926454875,690.7228812373469,566.5123617894213,742.0249678702257,387.1584107243828,129.2442621169349,123.60880943907794,25.03647460522273,0.0,4085.77656957635
i3,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.74710801301107,27.950161335479486,109.36786859637688,280.76121415778414,727.3730692742386,0.0,262.35489208658703,1180.4639385615071,1321.4613598224184,819.6916289947455,778.862651450377,309.2769920484363,264.773751241176,142.11534816839497,0.0,0.0,6253.199983750532
i4,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631378589542529,42.76534028931677,57.11165472251931,49.91883305069049,71.20387326971937,52.963871500343664,0.0,89.3085154214554,451.7901730652011,530.1546068624243,161.56408293770363,56.37586501142571,117.25242172514108,32.939450319714204,23.182770540574314,0.0,0.0,1737.1945965751838
i5,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.6795505032796,73.80715933999842,110.92587037963665,149.07257245200984,333.62836403904106,0.0,274.8704003947727,2058.4529513137754,1369.1765954443706,399.46950878036074,544.4638085159406,311.3502014705046,163.44507462111886,21.07647650578927,0.0,0.0,6020.418533760599
i6,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5547381286852,240.43991083992552,212.14078334479603,190.93234932387747,159.7229143125128,0.0,90.02613399312207,278.55113663413704,310.1351181867088,389.27248467115794,683.8720277725688,174.14565430811138,76.82420151481166,11.724246757685021,0.0,0.0,2986.3416997880995
i7,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.666392509690684,19.86607944296481,52.210674910140064,111.92406826237684,265.09539814464864,0.0,113.7455425837023,333.25563562693463,564.3135504794119,334.8786766520578,290.897143783746,108.01239551908958,81.7579476521692,47.932214339567246,0.0,0.0,2352.5557199064997
i8,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.983856859894026,50.85253683968119,63.857265546304816,92.84416333184366,95.99114742550564,174.83385414717526,0.0,180.8047417179406,778.0814174899731,719.6608861694921,359.41321229248143,186.4898253601599,185.3555006637966,113.47192481105844,50.11452989670133,0.0,0.0,3065.754862552008
i9,25,x_ind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.35037071702715,68.77787652451822,76.44140308053348,99.56352962493068,106.13018123079478,0.0,120.65238572246307,445.3360123861783,374.2641197599378,242.92468031598287,124.88483998645704,52.81406998472034,57.15621937220694,0.0,0.0,0.0,1849.2956887057508
