,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,7,ym_re,1.0532902238049536e-06,1.1608505936280127e-06,2.364945970203377e-05,4.57849396760619,10.7135247786142,0.5644443681998008,2.61698008971601e-07,1.715140881522507e-07,1.0157989120464437e-07,9.085979567052967e-08,1.8254809465389135,0.24563957435079078,3.9688860788178335,5.1172404533975724e-08,0.01918416680505825,0.8561743751827572,1.7151458452301793,1.1332308890411251,1.4200578117315485,0.09429377711573311,0.3292703386584328,0.013010225090932139,1.2611252813981117e-07,1.557586234578349e-07,27.476863965279353
i1,7,ym_re,1.0532960188544838e-06,1.160873219068951e-06,1.56710960939968e-05,4.443732718783866,11.815874445614634,0.2909917575017444,2.6316784818546334e-07,1.7331870457721002e-07,1.0121514089065225e-07,9.081741730634178e-08,1.327958536386712e-07,0.126612711126446,1.2525468164710456,5.117240419200047e-08,0.019769174498733548,18.490895050678567,0.5392692315501951,0.7748178957743649,1.6554668543778106,0.43456044389170445,0.23584190568768065,0.06728062806645495,1.2609174215114748e-07,1.5571874561810508e-07,40.147678613586436
i2,7,ym_re,1.0533443537271219e-06,1.1623523734225945e-06,4.765921201762995e-05,12.599052050952691,25.937056962473257,2.079790554447897,2.7918440260324154e-07,1.8137776664784632e-07,1.0177073359857136e-07,9.083827787888108e-08,0.38434078697367047,1.4158171075176557e-07,2.991980010722553,5.117240433918523e-08,0.025692052384355676,17.05697267376099,25.507251946341047,5.508871503220818,19.0999241752374,3.7896568482569495,1.022881216958879,4.770096075175367,1.2611732312737596e-07,1.5581325896764375e-07,120.7736178596705
i3,7,ym_re,1.053339582451235e-06,1.1622835408911332e-06,4.76511402354873e-05,17.933076202988456,39.27165248773866,1.896424302228032,2.707196500281506e-07,1.8091341397416088e-07,1.01353240856146e-07,9.066440557777276e-08,0.21779257263662202,0.008056395913491441,15.800932141358793,5.117240416323949e-08,1.2286247505486792e-07,59.276269875128655,34.17706302947538,18.929873956139275,10.43009737715292,3.64254726960974,0.7726946402473959,0.19221957471049708,1.2612330070612772e-07,1.5575371844525165e-07,202.54875079165387
i4,7,ym_re,1.0533251406351858e-06,1.161812195228858e-06,3.697434213727348e-05,2.964267445520972,6.248228896736692,0.22788490830154193,2.776194219747382e-07,1.744863440675044e-07,1.0125675855725065e-07,9.081384933102575e-08,0.06763751818665821,1.2174640757403042e-07,0.12672129024591577,5.117240459816342e-08,0.0348794221932663,19.589020052244496,11.637514957588683,1.1218087692608614,0.18080149898650416,0.21352490751021946,0.10411787296341517,6.931638302483603e-06,1.261080911166089e-07,1.5570813220906418e-07,42.516454759768415
i5,7,ym_re,1.0533129483157623e-06,1.1614200230873474e-06,3.431659619555609e-05,16.517046925773993,36.11818013916043,2.7858759496776786,2.6681222879735936e-07,1.7969047676167804e-07,1.0116319353312047e-07,9.069479368214549e-08,0.027251811673631686,1.2165717316607683e-07,5.529649576396635,5.1172404148728106e-08,0.9163430582478127,114.44055082147378,45.656595959686456,5.485227976997156,4.914344474942001,4.224699126156546,0.4526164947483406,0.054083829604035606,1.260980859949447e-07,1.5573022853883745e-07,237.12250376888628
i6,7,ym_re,1.0533101520883726e-06,1.1613598835646896e-06,3.42946066723976e-05,8.104049835462627,17.430906990851806,1.0805571212504412,2.6599070586893614e-07,1.7560660750539306e-07,1.0143194913158517e-07,9.098067687322109e-08,1.2460420416607759e-07,0.027370527731167753,0.3103333689800128,5.117240423988203e-08,1.1269376433847293e-07,4.189801328194807,8.516953754952866,8.735880148638882,17.84785197576767,0.7749385974011509,0.4155212285195441,0.09890519111080975,1.261026191548519e-07,1.5572897577811392e-07,67.5331077824504
i7,7,ym_re,1.0533310260840918e-06,1.1619604658324404e-06,3.700736046514606e-05,5.984081349721313,12.280705756771532,0.640380673602104,2.689651927040702e-07,1.8057613486236784e-07,1.0133408083648393e-07,9.076102735732979e-08,1.2439352907215178e-07,1.2732278581232074e-07,3.3164330084900855,5.11724043416165e-08,1.5750889312561935e-07,6.2848131154345666,16.068314068221728,10.800824111694086,3.495679876940807,0.17353106168778573,0.2595565763530074,0.1861192285942241,1.261186729913886e-07,1.5573950010944574e-07,59.490479434055416
i8,7,ym_re,1.0532923112197613e-06,1.160655694090014e-06,1.3006970218484506e-05,8.654627421203955,18.45439785937451,0.43651158479226254,2.7603814899552664e-07,1.74151023713733e-07,1.0125499507164167e-07,9.075306370595271e-08,0.08210339170355793,1.2127050470603632e-07,0.8477526124479912,5.11724042215948e-08,0.03486377729587284,40.69010394626,25.183855420989527,4.711540738998874,0.7165264119481892,2.9692571881146055,0.6745607134549041,0.2113382446941755,1.2609698128181589e-07,1.5570088839463968e-07,103.66745562863466
i9,7,ym_re,1.053325135780075e-06,1.1616792776502891e-06,3.431694136171483e-05,5.6190355724176175,13.30852553479695,0.5846748522341195,2.7824043587058065e-07,1.8030397065285892e-07,1.0129131571691001e-07,9.085436888640341e-08,0.017035589868951304,1.1846454387689198e-07,0.21075559351367562,5.117240458192383e-08,1.2187699734905046e-07,12.550139705655672,5.98277580165696,4.9310252167461535,0.6835940554513827,0.03855172415498951,0.28110917516234024,6.3710449698044895e-06,1.2609482784722713e-07,1.5572422522336144e-07,44.20726694867265
