,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,2,ym_re,1.7216992739794869e-06,1.854300377724795e-06,3.184080144095925e-06,2.1659406975623945,8.299819921783346,1.8641205735115645e-06,4.2010184880014786e-07,2.697449293157579e-07,1.6416950821793502e-07,1.4738547853649998e-07,0.0732250128930783,1.9549519315845086e-07,4.09544779003912,8.289313905962833e-08,0.24906619710733957,0.4552437463853739,0.5325722056931211,0.6744827104720885,0.8919286515681267,0.056855864643480844,0.3964363526485359,0.060316004434018786,1.841443268445086e-07,2.5306973071899847e-07,17.95134549643455
i1,2,ym_re,1.7217108128348528e-06,1.8544993720637765e-06,3.1919945598398623e-06,3.022999748259061,11.20443380832654,1.8696422746037182e-06,4.2376710665999026e-07,2.71362078049053e-07,1.6450083814039057e-07,1.473217515117319e-07,0.05433233231229737,0.09998641420570664,2.263617091555563,8.289313801870549e-08,0.8949155659709814,11.675329839903636,0.840032986772909,0.7679088640423148,1.109425081851871,0.6942712425720633,0.2780230722357481,0.0773657029424214,1.841437855505237e-07,2.5297912232915316e-07,32.982651915765956
i2,2,ym_re,1.721744389336407e-06,1.8553769299475795e-06,2.0682574349000058e-05,9.737451455560635,24.435397296745077,0.10504281032703194,4.4455927684195745e-07,2.835818838072171e-07,1.651380047250905e-07,1.474160930861615e-07,0.020213217592133206,3.69899511818464e-07,1.4046854867767118,8.289313865143606e-08,0.03710126217941555,8.183622897835285,19.792728796294053,7.367266519857518,19.265412484632257,5.127414036363536,0.8691837488143771,4.2323391960752925,1.8412060992031154e-07,2.5297437555900433e-07,100.57788539933188
i3,2,ym_re,1.7217346729416003e-06,1.855262542519581e-06,2.0688391975991256e-05,13.930641460770703,34.76991603135939,0.21999635279937976,4.274725303360439e-07,2.8236640846043213e-07,1.6446654956447236e-07,1.4715818295759745e-07,1.7244468230683717e-07,0.8889904191474866,11.824963435131783,8.289313746452721e-08,1.6045651805911003,50.12855652674317,34.27357647875899,12.42617467431077,13.321081767043689,2.298394639352782,3.473932992967044,0.22030036046020535,1.8414893131130362e-07,2.5308773788320633e-07,179.38111629886384
i4,2,ym_re,1.721735678216485e-06,1.855214767080836e-06,2.06644143751293e-05,1.3807783139327676,5.98634510486502,0.08070287734878162,4.437880102598716e-07,2.733553868899232e-07,1.6455434606631851e-07,1.4739473011224182e-07,0.006492410406096643,0.1754088738313453,0.2086146127676512,8.291897311256256e-08,0.10122151615878952,11.623494512305353,12.037860761123547,0.8422932732557596,0.2525542780522762,1.076504604213325,0.11499846203013644,8.948367531949367e-05,1.8413618417170192e-07,2.5303808327425283e-07,33.8873848745167
i5,2,ym_re,1.7217238415931e-06,1.8547596719582174e-06,3.206607034901589e-06,13.865672693497572,35.5139857047262,1.8790603341040153e-06,4.2636605406878236e-07,2.821624334475018e-07,1.6486658617727076e-07,1.472833678995167e-07,0.021294231398685498,1.9535013383010996e-07,4.337822325656559,8.289313652972706e-08,1.7263298980035922,54.082573751428754,37.71318670548862,3.4007713200317977,8.087736332230406,3.3365509496179455,1.067366389135999,0.17501513746631414,1.8414173392383845e-07,2.529579595790132e-07,163.32831583685473
i6,2,ym_re,1.7217221164165271e-06,1.8549940213188965e-06,2.065829131025076e-05,5.483422862692338,15.260395608060207,0.11188979133933043,4.248235063504359e-07,2.7362056727296286e-07,1.6483909164066133e-07,1.4752632054994926e-07,1.7269589939082386e-07,0.7739260822899859,0.8815654781239772,8.291958037014095e-08,0.08833354183901149,1.961062072288662,3.8027793761719506,4.876534596864321,20.331610845891372,1.017992017751648,0.49724483452309426,0.08684659111869326,1.841317458107716e-07,2.530018233388473e-07,55.17362963752058
i7,2,ym_re,1.7217368086277739e-06,1.8552426488753867e-06,2.0667738768677923e-05,3.156855675781866,11.959918586103516,0.0872138051460301,4.287210147063345e-07,2.829706254358826e-07,1.644075635920564e-07,1.4718671580173045e-07,0.02305700185262801,1.9402880193534427e-07,4.611672906548878,8.289313924938484e-08,0.030629314152745755,3.369183942374461,12.785572250217264,4.3421491218076165,3.064911780009553,0.49963339145641583,0.7084504155790444,0.1724432016838551,1.8414017424442383e-07,2.52962038458121e-07,44.81171737474217
i8,2,ym_re,1.7217337244059891e-06,1.8551771383175674e-06,2.066493567863988e-05,6.274514995023169,16.762387751752655,0.09858396805070276,4.436897918817472e-07,2.7416987846877234e-07,1.6447908092540488e-07,1.4731931950462852e-07,0.03531445404843873,0.16446756769675244,0.21489834851569117,8.29151881344003e-08,1.970936715241826e-07,21.121433563882796,24.462946300878915,5.81453203608763,0.4318007794185988,0.4697140635999565,0.35190147569238617,4.551854005358426e-05,1.8413558898254969e-07,2.5292484659385927e-07,76.20256681176164
i9,2,ym_re,1.7217290645944212e-06,1.8548241488668242e-06,3.2083036784948564e-06,4.6772721609969885,11.770804956527634,1.880127065445028e-06,4.433890670854864e-07,2.8236972812012894e-07,1.6446614314343214e-07,1.4716509723813745e-07,0.03657180458735225,1.8644387687253412e-07,0.4993817366759277,8.291897201456707e-08,0.19762403530818384,5.422970152167596,2.3192573500209694,1.2638679063058391,0.7139862213214215,0.05874821274939919,0.4901589390395539,2.2921821332954888e-05,1.8414368187345886e-07,2.5305455470246206e-07,27.450676806457277
