,seed,var,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,RowSum
i0,4,ym_re,1.6962305796861319e-06,1.8457191423052717e-06,0.027752098306321013,5.290559585306386,8.50364511516611,0.025874105719080998,4.0546293936810093e-07,2.650495474226983e-07,1.630371928689493e-07,1.4634210802818666e-07,3.0691922908334466e-07,0.4386391100642061,2.724254704972543,8.439634568931772e-08,1.5781682619152092e-07,0.5828903683533961,0.6528646864377647,0.8296142968150112,1.5889822538777159,3.4332611445916383e-07,0.036647470846307796,0.19168570661796142,1.753418227324469e-07,2.263118364383858e-07,20.89341531843649
i1,4,ym_re,1.6962866677963594e-06,1.8476205476347803e-06,0.08348355776309571,5.556170393532884,8.39147719047729,0.6343763353388884,4.154465096284611e-07,2.6792143483010774e-07,1.628676016287894e-07,1.4588445634450238e-07,1.6468347699974581e-07,0.06731540056717933,1.2028952652061,8.439634541199797e-08,0.6357182675708961,10.13949894985222,1.1572270040551598,1.6410342747132152,4.542755046428735,0.29922664617576683,0.1253026180805127,0.04912968274989968,1.7533947081776946e-07,2.2631497448763693e-07,34.52561581927333
i2,4,ym_re,1.696342721909183e-06,1.848902619971549e-06,0.22383872937764335,12.446171460237661,19.26482391742318,2.720581674992741,4.3634280573911366e-07,2.8010815878455635e-07,1.639830641010546e-07,1.4621338526165002e-07,2.8188715682723614e-07,1.729463465249556e-07,0.8630531373294464,8.439634542764302e-08,1.5311430379041996e-07,6.5620793853439245,20.737774744838525,0.8812644909915099,23.17843394161551,3.877408031324356,4.086292805651321e-07,2.771995316442982,1.7532780532171614e-07,2.2630304446029648e-07,93.52743090441452
i3,4,ym_re,1.696333866690129e-06,1.8487603460634389e-06,0.16790436739688822,17.230491022527136,28.46240667818888,3.584453324522833,4.2554866378577554e-07,2.797090161279921e-07,1.6319069800575957e-07,1.4585284003653227e-07,1.6436008711287645e-07,0.09932801986767544,14.568090937842939,8.441281081406038e-08,0.8187008871553728,52.89800740003553,56.542624664262576,23.305275855216564,15.856049131543324,1.8721435890922355,2.4939632909108185,0.10940359136428093,1.7534434084055947e-07,2.2632847859889615e-07,218.00884796976823
i4,4,ym_re,1.6962727355939614e-06,1.8469455671710762e-06,0.07289303138333639,2.848084176297943,4.865538080574663,0.35314595643466895,4.311784788777163e-07,2.6835451431272886e-07,1.624883420541319e-07,1.4605490805282752e-07,2.8186274527750776e-07,1.727048133184309e-07,0.12644802227832286,8.43963458885036e-08,0.08777779201510873,13.52442297562479,10.742191577098104,0.4569724972227731,0.45699913097005535,0.6250821786316659,0.07450824763585409,1.0427421558262912e-05,1.753501402586084e-07,2.2632928578080115e-07,34.234079585526715
i5,4,ym_re,1.6962998754882472e-06,1.847835928934348e-06,0.041071300490705565,15.945961842320978,28.697198614397017,1.454887453291928,4.189805057576128e-07,2.774181791253162e-07,1.6268262031958995e-07,1.4578893939437483e-07,1.643169092834307e-07,0.03327248198892361,3.4326335127591436,8.439634536286818e-08,0.09285330773898375,68.52365061307378,28.244275261944562,3.214614150310125,13.859078810809882,1.5161873635478755,0.2005370904863857,0.03508791474516559,1.753365840967722e-07,2.2635394382525673e-07,165.29131491731533
i6,4,ym_re,1.6962480230796575e-06,1.8462707094665607e-06,0.041737046655051194,8.482142467591121,14.354256383883655,0.795083100944811,4.093239773906097e-07,2.681545183003072e-07,1.6254412240428988e-07,1.4648202542464926e-07,1.6868981946909012e-07,0.05078763099205659,0.4299661925503005,8.439634551960992e-08,1.5300834376276316e-07,3.738596313864221,2.3154585510150802,4.730600261946625,31.596636390793527,0.726582753055072,5.002516705236839e-07,0.027966663457847776,1.7533808516116053e-07,2.2628923694597707e-07,67.28981959374624
i7,4,ym_re,1.6963031514848138e-06,1.8479297683191761e-06,0.033716856263936924,5.720454288495496,9.906640582522437,0.8651289909959669,4.190956202648723e-07,2.772518724798186e-07,1.625431128998708e-07,1.4595972779010554e-07,1.6443382540656957e-07,1.730749566383994e-07,2.665242498843349,8.439634550338744e-08,0.18044239954433683,4.170907644774686,9.629149844533114,5.363868578079892,1.2987497263293641,0.05695684592813682,0.1741850433416651,0.05144085535874761,1.7533725199977023e-07,2.263152672686425e-07,40.116889527652035
i8,4,ym_re,1.696276310762621e-06,1.8472474669148044e-06,0.0318328166618051,7.9592233388901175,13.17477193044459,0.6450295083257483,4.317504577795415e-07,2.6875708328715914e-07,1.6237207655692358e-07,1.461697034599307e-07,1.6416823854713578e-07,1.690374088170126e-07,0.23314095551450367,8.439634549356148e-08,0.06106099011489391,21.193727486334573,21.131118039392433,9.293650810514595,1.4237932286779096,0.3798053275918818,0.2655287480886782,0.12958337123810088,1.7532891122930216e-07,2.2625781202031648e-07,75.92227192355165
i9,4,ym_re,1.6963245292976596e-06,1.8485397925028992e-06,0.13975529268146616,5.964577207597139,10.281765856660606,1.1408878175743196,4.3500497009820033e-07,2.7833851052571315e-07,1.6274002799769386e-07,1.4600916481128454e-07,1.6453531236808124e-07,1.6940565257185527e-07,0.08593292354134664,8.441281110771678e-08,0.025004223973900886,11.619108590016634,3.345180447141788,1.715766118298445,1.1385346107915972,3.2766072973534176e-07,4.137934730432167e-07,5.855226442376716e-06,1.7533785175209114e-07,2.2630892195682856e-07,35.456525071915436
