t,P_DA
0,99.099
1,86.476
2,79.885
3,77.038
4,76.81700000000001
5,79.807
6,86.866
7,95.01700000000001
8,113.39900000000002
9,122.70700000000001
10,126.919
11,132.145
12,145.808
13,144.37800000000001
14,157.989
15,170.846
16,178.00900000000001
17,172.055
18,144.404
19,129.857
20,126.33400000000002
21,123.5
22,118.742
23,112.56700000000001
