t,s,P_DA,P_RT,P_PN,P_IN
0,0,106.722,61.592535436053026,213.444,213.44400000000002
0,1,106.722,43.08323432034106,213.444,213.44400000000002
0,2,106.722,66.72315754574036,213.444,213.44400000000002
0,3,106.722,61.562180321949064,213.444,213.44400000000002
0,4,106.722,60.887173818807774,213.444,213.44400000000002
0,5,106.722,56.823348226022716,213.444,213.44400000000002
0,6,106.722,51.15024113676872,213.444,213.44400000000002
0,7,106.722,69.8650812443981,213.444,213.44400000000002
0,8,106.722,55.43853605600647,213.444,213.44400000000002
0,9,106.722,53.956803241493105,213.444,213.44400000000002
0,10,106.722,69.94916558923327,213.444,213.44400000000002
0,11,106.722,65.79692741262075,213.444,213.44400000000002
0,12,106.722,47.98754534533776,213.444,213.44400000000002
0,13,106.722,65.09441516558132,213.444,213.44400000000002
0,14,106.722,50.23807640338679,213.444,213.44400000000002
0,15,106.722,77.36073297739719,213.444,213.44400000000002
0,16,106.722,80.45894847427574,213.444,213.44400000000002
0,17,106.722,64.22140614712634,213.444,213.44400000000002
0,18,106.722,80.1243108846943,213.444,213.44400000000002
0,19,106.722,45.50796402233315,213.444,213.44400000000002
0,20,106.722,64.71833163490722,213.444,213.44400000000002
0,21,106.722,44.85984197054932,213.444,213.44400000000002
0,22,106.722,61.23719043325011,213.444,213.44400000000002
0,23,106.722,46.27012336562812,213.444,213.44400000000002
0,24,106.722,47.65262942421685,213.444,213.44400000000002
0,25,106.722,68.84833891485219,213.444,213.44400000000002
0,26,106.722,52.11452105681191,213.444,213.44400000000002
0,27,106.722,46.740215579290805,213.444,213.44400000000002
0,28,106.722,51.85697821517517,213.444,213.44400000000002
0,29,106.722,57.70313593590815,213.444,213.44400000000002
0,30,106.722,63.02755967524395,213.444,213.44400000000002
0,31,106.722,51.01909952263145,213.444,213.44400000000002
0,32,106.722,70.81908761808141,213.444,213.44400000000002
0,33,106.722,63.717360326517536,213.444,213.44400000000002
0,34,106.722,64.71790869584034,213.444,213.44400000000002
0,35,106.722,59.37620335451158,213.444,213.44400000000002
0,36,106.722,77.73547483016443,213.444,213.44400000000002
0,37,106.722,68.09269323771363,213.444,213.44400000000002
0,38,106.722,49.23868432510652,213.444,213.44400000000002
0,39,106.722,73.54291257283387,213.444,213.44400000000002
0,40,106.722,85.45001629822565,213.444,213.44400000000002
0,41,106.722,64.4819158603217,213.444,213.44400000000002
0,42,106.722,82.06333555095745,213.444,213.44400000000002
0,43,106.722,57.33244171858916,213.444,213.44400000000002
0,44,106.722,67.51222811520327,213.444,213.44400000000002
0,45,106.722,61.211175033447546,213.444,213.44400000000002
0,46,106.722,61.626494807183946,213.444,213.44400000000002
0,47,106.722,76.96461166853605,213.444,213.44400000000002
0,48,106.722,66.08860677948476,213.444,213.44400000000002
0,49,106.722,84.96213626239715,213.444,213.44400000000002
0,50,106.722,66.47696558677106,213.444,213.44400000000002
0,51,106.722,45.61852482172182,213.444,213.44400000000002
0,52,106.722,58.44862516459015,213.444,213.44400000000002
0,53,106.722,80.31790464928997,213.444,213.44400000000002
0,54,106.722,60.251067869981746,213.444,213.44400000000002
0,55,106.722,43.140835281885515,213.444,213.44400000000002
0,56,106.722,53.06985805025731,213.444,213.44400000000002
0,57,106.722,44.943700626905525,213.444,213.44400000000002
0,58,106.722,86.77257468967673,213.444,213.44400000000002
0,59,106.722,85.72215826492959,213.444,213.44400000000002
0,60,106.722,78.03432275340629,213.444,213.44400000000002
0,61,106.722,69.07726570250331,213.444,213.44400000000002
0,62,106.722,76.44105206427373,213.444,213.44400000000002
0,63,106.722,49.55134199981209,213.444,213.44400000000002
0,64,106.722,55.139212154882664,213.444,213.44400000000002
0,65,106.722,65.56784686326911,213.444,213.44400000000002
0,66,106.722,58.009977609674976,213.444,213.44400000000002
0,67,106.722,43.974814968048186,213.444,213.44400000000002
0,68,106.722,86.28967269027663,213.444,213.44400000000002
0,69,106.722,61.83447094529813,213.444,213.44400000000002
0,70,106.722,64.66210660152139,213.444,213.44400000000002
0,71,106.722,56.51670933735736,213.444,213.44400000000002
0,72,106.722,53.637118885113125,213.444,213.44400000000002
0,73,106.722,59.37607851448367,213.444,213.44400000000002
0,74,106.722,79.46781080010244,213.444,213.44400000000002
0,75,106.722,75.16760855248191,213.444,213.44400000000002
0,76,106.722,59.029456530088304,213.444,213.44400000000002
0,77,106.722,42.500564527715525,213.444,213.44400000000002
0,78,106.722,77.90552807195564,213.444,213.44400000000002
0,79,106.722,54.07242287931945,213.444,213.44400000000002
0,80,106.722,68.21369263544955,213.444,213.44400000000002
0,81,106.722,43.06629482772665,213.444,213.44400000000002
0,82,106.722,71.80286348233129,213.444,213.44400000000002
0,83,106.722,59.404674683136605,213.444,213.44400000000002
0,84,106.722,64.34945828992575,213.444,213.44400000000002
0,85,106.722,60.640636697414905,213.444,213.44400000000002
0,86,106.722,57.75033199919841,213.444,213.44400000000002
0,87,106.722,66.78253209554411,213.444,213.44400000000002
0,88,106.722,85.82734464816382,213.444,213.44400000000002
0,89,106.722,47.003388702294316,213.444,213.44400000000002
0,90,106.722,56.05257429454186,213.444,213.44400000000002
0,91,106.722,43.7996264431421,213.444,213.44400000000002
0,92,106.722,75.24220670485302,213.444,213.44400000000002
0,93,106.722,71.59118721964225,213.444,213.44400000000002
0,94,106.722,51.60103019569674,213.444,213.44400000000002
0,95,106.722,60.724032088053875,213.444,213.44400000000002
0,96,106.722,70.97414290794971,213.444,213.44400000000002
0,97,106.722,71.77033352713386,213.444,213.44400000000002
0,98,106.722,49.60783948768261,213.444,213.44400000000002
0,99,106.722,81.70820478438499,213.444,213.44400000000002
1,0,93.12799999999999,107.97870371597286,215.9574074319457,215.95740743194574
1,1,93.12799999999999,67.22812208801068,186.25599999999997,186.25599999999997
1,2,93.12799999999999,113.73066421618195,227.4613284323639,227.46132843236387
1,3,93.12799999999999,106.12924534290457,212.25849068580914,212.25849068580916
1,4,93.12799999999999,109.28068293472849,218.56136586945698,218.561365869457
1,5,93.12799999999999,93.13111085807614,186.26222171615228,186.26222171615228
1,6,93.12799999999999,72.72542799034025,186.25599999999997,72.72542799034025
1,7,93.12799999999999,116.86528691558865,233.7305738311773,233.7305738311773
1,8,93.12799999999999,96.21494682667841,192.42989365335683,192.42989365335683
1,9,93.12799999999999,80.65973643561746,186.25599999999997,186.25599999999997
1,10,93.12799999999999,75.44236653317685,186.25599999999997,186.25599999999997
1,11,93.12799999999999,116.57783149976368,233.15566299952735,233.15566299952738
1,12,93.12799999999999,85.3100735363766,186.25599999999997,186.25599999999997
1,13,93.12799999999999,92.93156900786214,186.25599999999997,186.25599999999997
1,14,93.12799999999999,97.24992363721255,194.4998472744251,194.49984727442512
1,15,93.12799999999999,111.03105057325749,222.06210114651498,222.06210114651498
1,16,93.12799999999999,98.20666124218658,196.41332248437317,196.41332248437317
1,17,93.12799999999999,69.93350331634124,186.25599999999997,186.25599999999997
1,18,93.12799999999999,96.1626066456666,192.3252132913332,192.3252132913332
1,19,93.12799999999999,89.70942034667017,186.25599999999997,186.25599999999997
1,20,93.12799999999999,93.41979249044977,186.83958498089953,93.41979249044977
1,21,93.12799999999999,103.012640083959,206.025280167918,103.01264008395901
1,22,93.12799999999999,74.30553539111361,186.25599999999997,74.30553539111361
1,23,93.12799999999999,70.56084418411922,186.25599999999997,186.25599999999997
1,24,93.12799999999999,65.74938835593015,186.25599999999997,65.74938835593015
1,25,93.12799999999999,76.09284845503262,186.25599999999997,186.25599999999997
1,26,93.12799999999999,59.40111192146236,186.25599999999997,186.25599999999997
1,27,93.12799999999999,98.57341981144477,197.14683962288953,98.57341981144477
1,28,93.12799999999999,77.42871352443498,186.25599999999997,77.42871352443498
1,29,93.12799999999999,70.60256568494991,186.25599999999997,186.25599999999997
1,30,93.12799999999999,64.781637071217,186.25599999999997,3090.0166491250557
1,31,93.12799999999999,76.70636887851303,186.25599999999997,76.70636887851303
1,32,93.12799999999999,72.3512670612888,186.25599999999997,186.25599999999997
1,33,93.12799999999999,76.82329088058205,186.25599999999997,186.25599999999997
1,34,93.12799999999999,88.57961593039298,186.25599999999997,186.25599999999997
1,35,93.12799999999999,93.52033429247719,187.04066858495437,187.04066858495437
1,36,93.12799999999999,112.22456847721396,224.44913695442793,112.22456847721396
1,37,93.12799999999999,121.2975572165871,242.5951144331742,242.59511443317422
1,38,93.12799999999999,61.84455298047495,186.25599999999997,186.25599999999997
1,39,93.12799999999999,73.43915743344041,186.25599999999997,73.43915743344041
1,40,93.12799999999999,99.45617205342177,198.91234410684353,198.91234410684353
1,41,93.12799999999999,68.96888379585361,186.25599999999997,186.25599999999997
1,42,93.12799999999999,113.80844239381491,227.61688478762983,4170.991253080569
1,43,93.12799999999999,72.50805774574305,186.25599999999997,186.25599999999997
1,44,93.12799999999999,105.68489624880503,211.36979249761006,211.36979249761006
1,45,93.12799999999999,100.07048534172968,200.14097068345936,100.0704853417297
1,46,93.12799999999999,109.29965551249236,218.59931102498473,109.29965551249236
1,47,93.12799999999999,60.72966718821907,186.25599999999997,60.729667188219075
1,48,93.12799999999999,73.27817937528364,186.25599999999997,186.25599999999997
1,49,93.12799999999999,103.33576255292114,206.67152510584228,103.33576255292114
1,50,93.12799999999999,64.29282649809049,186.25599999999997,186.25599999999997
1,51,93.12799999999999,60.688029209242416,186.25599999999997,60.68802920924242
1,52,93.12799999999999,81.34921295361005,186.25599999999997,186.25599999999997
1,53,93.12799999999999,96.06925759297289,192.13851518594578,192.13851518594578
1,54,93.12799999999999,62.056807835622024,186.25599999999997,186.25599999999997
1,55,93.12799999999999,62.907242916781364,186.25599999999997,186.25599999999997
1,56,93.12799999999999,61.504978472941765,186.25599999999997,186.25599999999997
1,57,93.12799999999999,83.75455021832734,186.25599999999997,186.25599999999997
1,58,93.12799999999999,101.04528748409945,202.0905749681989,101.04528748409945
1,59,93.12799999999999,71.28214284740412,186.25599999999997,186.25599999999997
1,60,93.12799999999999,114.195702360797,228.391404721594,114.19570236079701
1,61,93.12799999999999,86.11069427555783,186.25599999999997,186.25599999999997
1,62,93.12799999999999,97.95852612042833,195.91705224085666,97.95852612042833
1,63,93.12799999999999,77.12845230755403,186.25599999999997,186.25599999999997
1,64,93.12799999999999,97.68095880080313,195.36191760160625,97.68095880080313
