Eastern Date Hour,Eastern Date Hour Time Zone,Zone Name,Zone PTID,DAM Zonal LBMP,DAM Zonal Losses,DAM Zonal Congestion,DAM Zonal Price Version
6/4/24 10:00,EDT,N.Y.C.,61761,26.08,2.2,-0.18,1
6/4/24 11:00,EDT,N.Y.C.,61761,26.94,2.44,-0.54,1
6/4/24 12:00,EDT,N.Y.C.,61761,28.35,2.57,-0.33,1
6/4/24 13:00,EDT,N.Y.C.,61761,30.75,2.68,-0.44,1
6/4/24 14:00,EDT,N.Y.C.,61761,34.28,2.73,-0.57,1
6/4/24 15:00,EDT,N.Y.C.,61761,37.78,3.12,-0.67,1
6/4/24 16:00,EDT,N.Y.C.,61761,41.11,2.87,0.06,1
6/4/24 17:00,EDT,N.Y.C.,61761,45.52,3.68,0,1
6/4/24 18:00,EDT,N.Y.C.,61761,41.99,3.07,0,1
6/4/24 19:00,EDT,N.Y.C.,61761,39.09,2.76,0,1
6/4/24 20:00,EDT,N.Y.C.,61761,36.41,2.76,0,1
6/4/24 21:00,EDT,N.Y.C.,61761,32.64,2.25,0,1
6/4/24 22:00,EDT,N.Y.C.,61761,28.64,2.12,0,1
6/4/24 23:00,EDT,N.Y.C.,61761,26.22,1.83,0,1
6/5/24 0:00,EDT,N.Y.C.,61761,25.53,1.31,0,1
6/5/24 1:00,EDT,N.Y.C.,61761,22.71,1.2,0,1
6/5/24 2:00,EDT,N.Y.C.,61761,20.99,1.35,0,1
6/5/24 3:00,EDT,N.Y.C.,61761,19.64,1.3,0,1
6/5/24 4:00,EDT,N.Y.C.,61761,20.07,1.31,0,1
6/5/24 5:00,EDT,N.Y.C.,61761,20.84,1.27,0,1
6/5/24 6:00,EDT,N.Y.C.,61761,23.96,1.48,0,1
6/5/24 7:00,EDT,N.Y.C.,61761,25.96,1.86,0,1
6/5/24 8:00,EDT,N.Y.C.,61761,26.3,2.01,0,1
6/5/24 9:00,EDT,N.Y.C.,61761,25.67,1.96,-0.02,1
6/5/24 10:00,EDT,N.Y.C.,61761,26.84,2.32,-0.1,1
6/5/24 11:00,EDT,N.Y.C.,61761,28.3,2.47,-1.15,1
6/5/24 12:00,EDT,N.Y.C.,61761,31.12,2.71,-0.42,1
6/5/24 13:00,EDT,N.Y.C.,61761,33,2.88,-0.4,1
6/5/24 14:00,EDT,N.Y.C.,61761,35.14,2.93,-0.37,1
6/5/24 15:00,EDT,N.Y.C.,61761,39.38,3.41,-3.52,1
6/5/24 16:00,EDT,N.Y.C.,61761,41.93,3.76,-2.34,1
6/5/24 17:00,EDT,N.Y.C.,61761,46.23,4.12,-1.72,1
6/5/24 18:00,EDT,N.Y.C.,61761,44.12,3.66,-1.51,1
6/5/24 19:00,EDT,N.Y.C.,61761,41.8,3.36,-1.17,1
6/5/24 20:00,EDT,N.Y.C.,61761,39.32,3.14,-2.4,1
6/5/24 21:00,EDT,N.Y.C.,61761,33.09,2.72,-0.19,1
6/5/24 22:00,EDT,N.Y.C.,61761,28.87,2.42,-0.39,1
6/5/24 23:00,EDT,N.Y.C.,61761,27.21,2.08,0,1
6/6/24 0:00,EDT,N.Y.C.,61761,26.89,2.04,0,1
6/6/24 1:00,EDT,N.Y.C.,61761,24.29,1.74,0,1
6/6/24 2:00,EDT,N.Y.C.,61761,23.41,1.59,0,1
6/6/24 3:00,EDT,N.Y.C.,61761,22.38,1.43,0,1
6/6/24 4:00,EDT,N.Y.C.,61761,23,1.47,0,1
6/6/24 5:00,EDT,N.Y.C.,61761,23.16,1.56,0,1
6/6/24 6:00,EDT,N.Y.C.,61761,26.43,1.94,0,1
6/6/24 7:00,EDT,N.Y.C.,61761,29.46,2.38,0,1
6/6/24 8:00,EDT,N.Y.C.,61761,31.85,2.74,0,1
6/6/24 9:00,EDT,N.Y.C.,61761,32.22,2.74,0,1
6/6/24 10:00,EDT,N.Y.C.,61761,34.58,2.93,-1.08,1
6/6/24 11:00,EDT,N.Y.C.,61761,37.33,3.26,-2.13,1
6/6/24 12:00,EDT,N.Y.C.,61761,38.08,3.21,-3.41,1
6/6/24 13:00,EDT,N.Y.C.,61761,38.73,3.3,-3.74,1
6/6/24 14:00,EDT,N.Y.C.,61761,39.96,3.34,-3.91,1
