centralized_expected_profit,admm_expected_profit,optimality_gap,relative_gap,centralized_runtime_seconds,admm_runtime_seconds,admm_iterations,admm_converged,communication_scalars,max_balance_error,mean_abs_balance_error,price_rmse,n_der,scenarios,seed,rho,eps,experiment_wall_seconds,final_primal_residual,final_dual_residual,final_eps_primal,final_eps_dual,final_internal_price_mean,final_internal_price_std
6137952.368386685,6137639.281535122,313.08685156330466,5.100835470406187e-05,7.3782668999629095,479.887667199946,328,True,15744000,0.652093407405232,0.009303719806954824,13.75179542215225,10,100,1,0.05,1e-08,479.95618820004165,0.5784951451648024,0.17897587448777433,1.8476004259618317,0.17900434032192125,143.81033491530607,59.06692480838915
6137952.368386685,6137635.169958595,317.19842808973044,5.167821596717664e-05,7.3782668999629095,967.41171939997,656,True,31488000,0.2471115524799643,0.0026316134871057287,12.13595868618017,10,100,1,0.1,1e-08,967.4841788000194,0.18999124300576545,0.17921808942569084,1.8460725465207763,0.17924952019565188,145.42548655264116,59.298762058217875
6137952.368386685,6137342.237902285,610.1304844003171,9.940293566674994e-05,7.3782668999629095,2280.836979500018,1500,False,72000000,0.06587284822057882,0.0007560485571391286,11.231890494330294,10,100,1,0.5,1e-08,2281.0913792999927,0.04833405214853928,0.46782698423745983,1.8305847403001905,0.17951673792057268,147.18054968486072,59.5614340275073
6137952.368386685,6135971.097834895,1981.270551789552,0.0003227901477362416,7.3782668999629095,2320.180326800095,1500,False,72000000,0.07912164994729665,0.0009140980810755824,11.775562038461368,10,100,1,1.0,1e-08,2320.251645499957,0.06741500936169197,1.7563085709020114,1.800231259756092,0.1795182073891772,147.33500886523015,59.20376655550639
6137952.368386685,6126960.077035525,10992.291351160035,0.0017908727033750633,7.3782668999629095,2274.185218299972,1500,False,72000000,0.1453813338010832,0.0009800090802015873,14.917850497532974,10,100,1,2.0,1e-08,2274.257816700032,0.0738350958906157,6.012689255617439,1.7050714210683715,0.17946575251897962,147.3517151292145,58.24731707696343
