participant_count,date,seed,scenarios,level,eps,python_version,cagg_status,dagg_status,decentralized_aggregate_profit_usd,decentralized_market_profit_usd,decentralized_profit_with_imbalance_usd,decentralized_da_revenue_usd,decentralized_rt_revenue_usd,decentralized_penalty_cost_usd,aggregate_imbalance_penalty_usd,aggregate_imbalance_penalty_cost_usd,aggregate_imbalance_value_signed_usd,aggregate_imbalance_value_abs_usd,aggregate_imbalance_quantity_mwh,cagg_market_profit_usd,cagg_solve_seconds,cagg_wall_solve_seconds,cagg_build_seconds,cagg_total_seconds,dagg_solve_seconds,dagg_wall_solve_seconds,dagg_build_seconds,dagg_total_seconds,selected_files_json,experiment_wall_seconds
10,2022-07-18,6,100,high,1e-08,3.12.2,2,2,6131.463889805012,6131.463889805012,6131.544286493921,5189.914911458472,1145.2486612241132,203.69968287757303,0.08039668890987861,0.5222571151787877,0.08039668890987861,1.124910919267454,0.015580701674305949,6131.433210430342,3.389328956604004,3.4256290000048466,2.4998369999811985,5.925465999986045,2.5381269454956055,2.572709332976956,2.5320726659847423,5.104781998961698,"[""1033.csv"", ""1818.csv"", ""2502.csv"", ""2503.csv"", ""2634.csv"", ""2698.csv"", ""2816.csv"", ""545.csv"", ""665.csv"", ""690.csv""]",11.322111458983272
30,2022-07-18,6,100,high,1e-08,3.12.2,2,2,21052.754815871584,21052.754815871584,21066.757234759032,17567.781166782923,3710.801415740616,225.82776665195476,14.002418887449956,23.670347397560974,14.002418887449956,61.34311368257191,0.8861811842832958,21030.26867827074,12.707979917526245,12.816937249997864,7.581661875010468,20.39859912500833,8.273823022842407,8.391258374991594,8.891361000016332,17.282619375007926,"[""1033.csv"", ""1818.csv"", ""2502.csv"", ""2503.csv"", ""2634.csv"", ""2698.csv"", ""2816.csv"", ""545.csv"", ""665.csv"", ""690.csv"", ""1034.csv"", ""1045.csv"", ""1085.csv"", ""1130.csv"", ""1137.csv"", ""1146.csv"", ""1149.csv"", ""1150.csv"", ""1155.csv"", ""1157.csv"", ""1161.csv"", ""1164.csv"", ""1182.csv"", ""1184.csv"", ""1395.csv"", ""1397.csv"", ""1404.csv"", ""1406.csv"", ""1665.csv"", ""1666.csv""]",38.564024833001895
50,2022-07-18,6,100,high,1e-08,3.12.2,2,2,43306.68289452882,43306.68289452882,43318.51792886584,37066.28259205386,6701.167330648665,460.76702817369994,11.835034337021485,58.72411199057166,11.835034337021485,129.2832583181648,1.915258971652301,43279.104808025084,21.363587141036987,21.541042500000913,12.610995166003704,34.15203766600462,14.117256164550781,14.303857667022385,13.088799082994228,27.392656750016613,"[""1033.csv"", ""1818.csv"", ""2502.csv"", ""2503.csv"", ""2634.csv"", ""2698.csv"", ""2816.csv"", ""545.csv"", ""665.csv"", ""690.csv"", ""1034.csv"", ""1045.csv"", ""1085.csv"", ""1130.csv"", ""1137.csv"", ""1146.csv"", ""1149.csv"", ""1150.csv"", ""1155.csv"", ""1157.csv"", ""1161.csv"", ""1164.csv"", ""1182.csv"", ""1184.csv"", ""1395.csv"", ""1397.csv"", ""1404.csv"", ""1406.csv"", ""1665.csv"", ""1666.csv"", ""1667.csv"", ""1675.csv"", ""172.csv"", ""1879.csv"", ""1889.csv"", ""1890.csv"", ""1891.csv"", ""1892.csv"", ""1895.csv"", ""1964.csv"", ""2033.csv"", ""2034.csv"", ""2078.csv"", ""2194.csv"", ""2213.csv"", ""2358.csv"", ""2359.csv"", ""2371.csv"", ""2373.csv"", ""2376.csv""]",62.937221707979916
75,2022-07-18,6,100,high,1e-08,3.12.2,2,2,65078.04657404209,65078.04657404209,65093.11093975996,55265.36165112186,10227.160498895068,414.4755759748362,15.064365717865957,46.54475257550915,15.064365717865957,108.15387086888425,1.5468395180295167,65050.96189056348,35.15342593193054,35.42474279101589,19.147804541978985,54.57254733299487,20.29625391960144,20.566413124994142,18.948446667025564,39.514859792019706,"[""1033.csv"", ""1818.csv"", ""2502.csv"", ""2503.csv"", ""2634.csv"", ""2698.csv"", ""2816.csv"", ""545.csv"", ""665.csv"", ""690.csv"", ""1034.csv"", ""1045.csv"", ""1085.csv"", ""1130.csv"", ""1137.csv"", ""1146.csv"", ""1149.csv"", ""1150.csv"", ""1155.csv"", ""1157.csv"", ""1161.csv"", ""1164.csv"", ""1182.csv"", ""1184.csv"", ""1395.csv"", ""1397.csv"", ""1404.csv"", ""1406.csv"", ""1665.csv"", ""1666.csv"", ""1667.csv"", ""1675.csv"", ""172.csv"", ""1879.csv"", ""1889.csv"", ""1890.csv"", ""1891.csv"", ""1892.csv"", ""1895.csv"", ""1964.csv"", ""2033.csv"", ""2034.csv"", ""2078.csv"", ""2194.csv"", ""2213.csv"", ""2358.csv"", ""2359.csv"", ""2371.csv"", ""2373.csv"", ""2376.csv"", ""2381.csv"", ""2386.csv"", ""2392.csv"", ""2508.csv"", ""2517.csv"", ""2628.csv"", ""2635.csv"", ""2699.csv"", ""2704.csv"", ""2810.csv"", ""2811.csv"", ""2812.csv"", ""2814.csv"", ""2819.csv"", ""2836.csv"", ""2841.csv"", ""2842.csv"", ""2843.csv"", ""2847.csv"", ""2883.csv"", ""367.csv"", ""373.csv"", ""374.csv"", ""376.csv"", ""401.csv""]",96.26994708299753
100,2022-07-18,6,100,high,1e-08,3.12.2,2,2,76083.99178202807,76083.99178202807,76100.29063481302,64578.101092203935,11918.818191581146,412.9275017570125,16.298852784957994,48.412616284385834,16.298852784957994,113.12408535372964,1.6353572175060465,76062.19075870582,194.8403980731964,195.20141849998618,25.21503799999482,220.416456499981,32.977916955947876,33.34074854198843,25.477081166987773,58.817829708976205,"[""1033.csv"", ""1818.csv"", ""2502.csv"", ""2503.csv"", ""2634.csv"", ""2698.csv"", ""2816.csv"", ""545.csv"", ""665.csv"", ""690.csv"", ""1034.csv"", ""1045.csv"", ""1085.csv"", ""1130.csv"", ""1137.csv"", ""1146.csv"", ""1149.csv"", ""1150.csv"", ""1155.csv"", ""1157.csv"", ""1161.csv"", ""1164.csv"", ""1182.csv"", ""1184.csv"", ""1395.csv"", ""1397.csv"", ""1404.csv"", ""1406.csv"", ""1665.csv"", ""1666.csv"", ""1667.csv"", ""1675.csv"", ""172.csv"", ""1879.csv"", ""1889.csv"", ""1890.csv"", ""1891.csv"", ""1892.csv"", ""1895.csv"", ""1964.csv"", ""2033.csv"", ""2034.csv"", ""2078.csv"", ""2194.csv"", ""2213.csv"", ""2358.csv"", ""2359.csv"", ""2371.csv"", ""2373.csv"", ""2376.csv"", ""2381.csv"", ""2386.csv"", ""2392.csv"", ""2508.csv"", ""2517.csv"", ""2628.csv"", ""2635.csv"", ""2699.csv"", ""2704.csv"", ""2810.csv"", ""2811.csv"", ""2812.csv"", ""2814.csv"", ""2819.csv"", ""2836.csv"", ""2841.csv"", ""2842.csv"", ""2843.csv"", ""2847.csv"", ""2883.csv"", ""367.csv"", ""373.csv"", ""374.csv"", ""376.csv"", ""401.csv"", ""424.csv"", ""450.csv"", ""453.csv"", ""504.csv"", ""524.csv"", ""542.csv"", ""557.csv"", ""561.csv"", ""566.csv"", ""596.csv"", ""608.csv"", ""666.csv"", ""674.csv"", ""709.csv"", ""712.csv"", ""713.csv"", ""747.csv"", ""748.csv"", ""749.csv"", ""907.csv"", ""911.csv"", ""912.csv"", ""913.csv"", ""933.csv"", ""935.csv""]",282.13668666701415
