Player,Individual Profit,Replay Profit,Replay + Loss,Holistic Profit,Loss Share,Replay+Loss - Individual,Change (%)
0,345541.7757011058,394976.72530444927,414482.55812540645,394976.7253051398,19505.832820957152,68940.78242430062,19.951504354117375
1,403537.81016692397,454342.1853149544,467548.9065282656,454342.18531559256,13206.721213311228,64011.09636134165,15.86247800047866
2,574249.1009021424,665594.4510382962,681053.5807168237,665594.4510405371,15459.129678527532,106804.47981468134,18.598980764078178
3,852463.3741463656,950225.9820970078,972248.5433778439,950225.9820995729,22022.561280836082,119785.16923147836,14.051649943486202
4,218701.51402078845,273192.8044381719,287323.31728496385,273192.8044389542,14130.51284679192,68621.8032641754,31.376921907203908
5,964101.2741523348,1052746.4422222998,1074703.7436324316,1052746.442224711,21957.301410131902,110602.46948009683,11.472080002937624
6,435756.2117984405,504998.419039191,518978.93335020705,504998.4190405396,13980.514311016079,83222.72155176656,19.098459023290143
7,346058.8192536813,410745.2266157123,421693.37217067485,410745.2266163784,10948.145554962552,75634.55291699356,21.855981905072912
8,455976.7550494673,539941.3776290717,552491.176460329,539941.3776303788,12549.798831257278,96514.42141086166,21.16652227159938
9,274854.0677724184,327719.70430488436,339987.8925408886,327719.70430552156,12268.188236004247,65133.82476847025,23.697602621039483
TOTAL,4871240.702963669,5574483.318004038,5730512.024187835,5574483.318017325,156028.70618379596,859271.3212241661,17.639681009837684
