t,s,P_DA,P_RT,P_PN,P_IN
0,0,91.143,52.58697956044015,182.286,182.286
0,1,91.143,69.97997743201495,182.286,182.286
0,2,91.143,28.679251175583264,182.286,182.286
0,3,91.143,46.01006996702387,182.286,182.286
0,4,91.143,37.088465311173046,182.286,182.286
0,5,91.143,33.96788453955316,182.286,182.286
0,6,91.143,39.35385576768768,182.286,182.286
0,7,91.143,48.48900510794782,182.286,182.286
0,8,91.143,51.42547572032478,182.286,182.286
0,9,91.143,59.5713451563202,182.286,182.286
0,10,91.143,52.711562964808635,182.286,182.286
0,11,91.143,67.96686810390618,182.286,182.286
0,12,91.143,40.397085204026844,182.286,182.286
0,13,91.143,79.02867443500661,182.286,182.286
0,14,91.143,30.243244373317076,182.286,182.286
0,15,91.143,67.12090955099208,182.286,182.286
0,16,91.143,52.60319670128227,182.286,182.286
0,17,91.143,60.710975400617194,182.286,182.286
0,18,91.143,36.72323529641237,182.286,182.286
0,19,91.143,40.0328983921451,182.286,182.286
0,20,91.143,74.59169757707123,182.286,182.286
0,21,91.143,84.19802477561952,182.286,182.286
0,22,91.143,46.64612235199492,182.286,182.286
0,23,91.143,68.37419898117822,182.286,182.286
0,24,91.143,78.92956531885952,182.286,182.286
0,25,91.143,79.97425550580641,182.286,182.286
0,26,91.143,33.54958531800429,182.286,182.286
0,27,91.143,30.912303873252423,182.286,182.286
0,28,91.143,38.411683037014654,182.286,182.286
0,29,91.143,79.03011191396871,182.286,182.286
0,30,91.143,34.312429319553885,182.286,182.286
0,31,91.143,52.82127102807818,182.286,182.286
0,32,91.143,83.6032358332229,182.286,182.286
0,33,91.143,59.24726063804112,182.286,182.286
0,34,91.143,68.3486515137645,182.286,182.286
0,35,91.143,46.76605751990076,182.286,182.286
0,36,91.143,68.04035204441107,182.286,182.286
0,37,91.143,76.53462247252097,182.286,182.286
0,38,91.143,29.721440605947812,182.286,182.286
0,39,91.143,71.69000656525569,182.286,182.286
0,40,91.143,85.37931178222328,182.286,182.286
0,41,91.143,71.57653951412512,182.286,182.286
0,42,91.143,44.754860895699494,182.286,182.286
0,43,91.143,73.9342189667154,182.286,182.286
0,44,91.143,34.592227357197416,182.286,182.286
0,45,91.143,54.35731883299043,182.286,182.286
0,46,91.143,80.77645089237477,182.286,182.286
0,47,91.143,45.510108574699565,182.286,182.286
0,48,91.143,45.17527978174901,182.286,182.286
0,49,91.143,36.12923078680422,182.286,182.286
0,50,91.143,29.783297955594445,182.286,182.286
0,51,91.143,67.60077703471995,182.286,182.286
0,52,91.143,40.80858801514493,182.286,182.286
0,53,91.143,43.90056762272315,182.286,182.286
