t,s,P_DA,P_RT,P_PN,P_IN
2,15,74.555,55.459078536195065,149.11,149.11
2,16,74.555,49.05340362437082,149.11,149.11
2,17,74.555,34.93119836935394,149.11,149.11
2,18,74.555,48.03241549703722,149.11,149.11
2,19,74.555,44.80910306401103,149.11,149.11
2,20,74.555,46.66240283067959,149.11,149.11
2,21,74.555,51.453949747757186,149.11,149.11
2,22,74.555,37.1149917221655,149.11,149.11
2,23,74.555,35.244549871257526,149.11,149.11
2,24,74.555,32.841268039091915,149.11,149.11
2,25,74.555,38.00773960727402,149.11,149.11
2,26,74.555,29.67035720351144,149.11,149.11
2,27,74.555,49.23659645368564,149.11,149.11
2,28,74.555,38.674993005447206,149.11,149.11
2,29,74.555,35.26538941100133,149.11,149.11
2,30,74.555,32.357884388975066,149.11,149.11
2,31,74.555,38.314187913164,149.11,149.11
2,32,74.555,36.138851082002475,149.11,149.11
2,33,74.555,38.372589472564506,149.11,149.11
2,34,74.555,44.244775233828825,149.11,149.11
2,35,74.555,46.7126226175412,149.11,149.11
2,36,74.555,56.055230719103605,149.11,149.11
2,37,74.555,60.58711249863261,149.11,149.11
2,38,74.555,30.890835519178047,149.11,149.11
2,39,74.555,36.682243198679956,149.11,149.11
2,40,74.555,49.67752379484868,149.11,149.11
2,41,74.555,34.4493790092014,149.11,149.11
2,42,74.555,56.84636245638503,149.11,149.11
2,43,74.555,36.21716671387299,149.11,149.11
2,44,74.555,52.78871928969937,149.11,149.11
2,45,74.555,49.98436813007018,149.11,149.11
2,46,74.555,54.59426122467374,149.11,149.11
2,47,74.555,30.333959416570952,149.11,149.11
2,48,74.555,36.60183600876483,149.11,149.11
2,49,74.555,51.61534671095314,149.11,149.11
3,0,71.643,36.019323074274894,143.286,143.286
3,1,71.643,33.99977648974038,143.286,143.286
3,2,71.643,45.57496913440405,143.286,143.286
3,3,71.643,53.821706327529405,143.286,143.286
3,4,71.643,34.76661911038941,143.286,143.286
3,5,71.643,35.243065669211724,143.286,143.286
3,6,71.643,34.457463001086275,143.286,143.286
3,7,71.643,46.92253191488032,143.286,143.286
3,8,71.643,56.609470344733715,143.286,143.286
3,9,71.643,39.935007877177696,143.286,143.286
3,10,71.643,63.97684035791222,143.286,143.286
3,11,71.643,48.24253476168995,143.286,143.286
3,12,71.643,54.88014748140367,143.286,143.286
3,13,71.643,43.21033610129277,143.286,143.286
3,14,71.643,54.72464355499382,143.286,143.286
3,15,71.643,66.7202403782172,143.286,143.286
3,16,71.643,48.7964226627613,143.286,143.286
3,17,71.643,40.25484022066451,143.286,143.286
3,18,71.643,47.99362996587521,143.286,143.286
3,19,71.643,48.67446753569125,143.286,143.286
3,20,71.643,50.90918689068047,143.286,143.286
3,21,71.643,51.55134389490313,143.286,143.286
3,22,71.643,34.4194635768239,143.286,143.286
3,23,71.643,38.74369018875816,143.286,143.286
3,24,71.643,48.87484876388855,143.286,143.286
3,25,71.643,58.01120740624998,143.286,143.286
3,26,71.643,60.47894091400139,143.286,143.286
3,27,71.643,60.461752148450294,143.286,143.286
3,28,71.643,50.7376662646746,143.286,143.286
3,29,71.643,66.8296889181259,143.286,143.286
