alpha
0.0
0.0
0.0
0.0
0.0
0.0
2.0
7.0
35.0
143.0
299.0
0.0
0.0
0.0
1229.0
0.0
636.0
0.0
0.0
291.0
90.0
13.0
0.0
0.0
