ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
122,2022-07-01,1,0.024,0.007060900264783761
122,2022-07-01,2,0.024,0.007060900264783761
122,2022-07-01,3,0.024,0.007060900264783761
122,2022-07-01,4,0.024,0.007060900264783761
122,2022-07-01,5,0.023,0.006766696087084437
122,2022-07-01,6,0.677,0.19917622830244192
122,2022-07-01,7,20.588,6.057075610473669
122,2022-07-01,8,64.641,19.01765225066196
122,2022-07-01,9,111.332,32.75433951162107
122,2022-07-01,10,143.444,42.20182406590173
122,2022-07-01,11,175.092,51.51279788172993
122,2022-07-01,12,191.729,56.407472786113566
122,2022-07-01,13,171.365,50.41629891144454
122,2022-07-01,14,166.385,48.95116210650191
122,2022-07-01,15,174.287,51.27596351868197
122,2022-07-01,16,150.1,44.16004707266843
122,2022-07-01,17,105.072,30.9126213592233
122,2022-07-01,18,71.861,21.141806413651075
122,2022-07-01,19,17.669,5.1982936157693445
122,2022-07-01,20,4.312,1.2686084142394825
122,2022-07-01,21,0.024,0.007060900264783761
122,2022-07-01,22,0.025,0.007355104442483084
122,2022-07-01,23,0.026,0.007649308620182407
122,2022-07-02,0,0.025,0.007355104442483084
122,2022-07-02,1,0.025,0.007355104442483084
122,2022-07-02,2,0.026,0.007649308620182407
122,2022-07-02,3,0.025,0.007355104442483084
122,2022-07-02,4,0.025,0.007355104442483084
122,2022-07-02,5,0.026,0.007649308620182407
122,2022-07-02,6,0.025,0.007355104442483084
122,2022-07-02,7,6.866,2.020005884083554
122,2022-07-02,8,25.511,7.505442777287438
122,2022-07-02,9,65.647,19.313621653427482
122,2022-07-02,10,97.983,28.8270079435128
122,2022-07-02,11,156.381,46.00794351279788
122,2022-07-02,12,163.46,48.090614886731395
122,2022-07-02,13,160.545,47.23300970873786
122,2022-07-02,14,110.289,32.44748455428068
122,2022-07-02,15,115.712,34.0429538099441
122,2022-07-02,16,148.615,43.72315386878494
122,2022-07-02,17,57.239,16.83995292733157
122,2022-07-02,18,78.46,23.08325978228891
122,2022-07-02,19,27.485,8.0862018240659
122,2022-07-02,20,1.672,0.49190938511326865
122,2022-07-02,21,0.025,0.007355104442483084
122,2022-07-02,22,0.025,0.007355104442483084
122,2022-07-02,23,0.025,0.007355104442483084
122,2022-07-03,0,0.026,0.007649308620182407
122,2022-07-03,1,0.025,0.007355104442483084
122,2022-07-03,2,0.026,0.007649308620182407
122,2022-07-03,3,0.025,0.007355104442483084
122,2022-07-03,4,0.026,0.007649308620182407
