ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
236,2022-07-01,1,0.0,0.0
236,2022-07-01,2,0.0,0.0
236,2022-07-01,3,0.0,0.0
236,2022-07-01,4,0.0,0.0
236,2022-07-01,5,0.0,0.0
236,2022-07-01,6,0.0,0.0
236,2022-07-01,7,2.5,0.665318288269108
236,2022-07-01,8,7.5,1.9959548648073238
236,2022-07-01,9,12.5,3.3265914413455397
236,2022-07-01,10,22.5,5.987864594421972
236,2022-07-01,11,25.0,6.6531828826910795
236,2022-07-01,12,25.0,6.6531828826910795
236,2022-07-01,13,22.5,5.987864594421972
236,2022-07-01,14,20.0,5.322546306152864
236,2022-07-01,15,27.5,7.318501170960187
236,2022-07-01,16,25.0,6.6531828826910795
236,2022-07-01,17,17.5,4.657228017883756
236,2022-07-01,18,15.0,3.9919097296146475
236,2022-07-01,19,2.5,0.665318288269108
236,2022-07-01,20,0.0,0.0
236,2022-07-01,21,0.0,0.0
236,2022-07-01,22,0.0,0.0
236,2022-07-01,23,0.0,0.0
236,2022-07-02,0,0.0,0.0
236,2022-07-02,1,0.0,0.0
236,2022-07-02,2,0.0,0.0
236,2022-07-02,3,0.0,0.0
236,2022-07-02,4,0.0,0.0
236,2022-07-02,5,0.0,0.0
236,2022-07-02,6,0.0,0.0
236,2022-07-02,7,0.0,0.0
236,2022-07-02,8,5.0,1.330636576538216
236,2022-07-02,9,10.0,2.661273153076432
236,2022-07-02,10,15.0,3.9919097296146475
236,2022-07-02,11,25.0,6.6531828826910795
236,2022-07-02,12,25.0,6.6531828826910795
236,2022-07-02,13,15.0,3.9919097296146475
236,2022-07-02,14,12.5,3.3265914413455397
236,2022-07-02,15,17.5,4.657228017883756
236,2022-07-02,16,25.0,6.6531828826910795
236,2022-07-02,17,15.0,3.9919097296146475
236,2022-07-02,18,12.5,3.3265914413455397
236,2022-07-02,19,7.5,1.9959548648073238
236,2022-07-02,20,0.0,0.0
236,2022-07-02,21,0.0,0.0
236,2022-07-02,22,0.0,0.0
236,2022-07-02,23,0.0,0.0
236,2022-07-03,0,0.0,0.0
236,2022-07-03,1,0.0,0.0
236,2022-07-03,2,0.0,0.0
236,2022-07-03,3,0.0,0.0
236,2022-07-03,4,0.0,0.0
236,2022-07-03,5,0.0,0.0
236,2022-07-03,6,0.0,0.0
236,2022-07-03,7,0.0,0.0
236,2022-07-03,8,2.5,0.665318288269108
236,2022-07-03,9,7.5,1.9959548648073238
