ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
933,2022-07-18,1,0.0,0.0
933,2022-07-18,2,0.0,0.0
933,2022-07-18,3,0.0,0.0
933,2022-07-18,4,0.0,0.0
933,2022-07-18,5,0.0,0.0
933,2022-07-18,6,9.0,0.4119973632168754
933,2022-07-18,7,59.0,2.7008716033106275
933,2022-07-18,8,106.0,4.852413388998754
933,2022-07-18,9,128.0,5.859518054640006
933,2022-07-18,10,215.0,9.842159232403134
933,2022-07-18,11,197.0,9.018164505969384
933,2022-07-18,12,182.0,8.331502233941258
933,2022-07-18,13,321.0,14.694572621401889
933,2022-07-18,14,353.0,16.15945213506189
933,2022-07-18,15,376.0,17.21233428550502
933,2022-07-18,16,428.0,19.59276349520252
933,2022-07-18,17,412.0,18.86032373837252
933,2022-07-18,18,197.0,9.018164505969384
933,2022-07-18,19,138.0,6.317292902658757
933,2022-07-18,20,19.0,0.869772211235626
933,2022-07-18,21,0.0,0.0
933,2022-07-18,22,0.0,0.0
933,2022-07-18,23,0.0,0.0
933,2022-07-19,0,0.0,0.0
