ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
367,2022-07-18,1,0.0,0.0
367,2022-07-18,2,0.0,0.0
367,2022-07-18,3,0.0,0.0
367,2022-07-18,4,0.0,0.0
367,2022-07-18,5,0.0,0.0
367,2022-07-18,6,0.0,0.0
367,2022-07-18,7,34.958,1.2480631778877391
367,2022-07-18,8,133.947,4.782147676884519
367,2022-07-18,9,72.082,2.5734564331055556
367,2022-07-18,10,52.261,1.865811251776164
367,2022-07-18,11,47.926,1.7110439917457463
367,2022-07-18,12,171.254,6.114074359688394
367,2022-07-18,13,146.242,5.221101186013467
367,2022-07-18,14,69.107,2.467243607594485
367,2022-07-18,15,99.202,3.541688980285471
367,2022-07-18,16,255.234,9.11231069125806
367,2022-07-18,17,270.298,9.65012245714
367,2022-07-18,18,170.806,6.098079957729081
367,2022-07-18,19,69.684,2.487843540475119
367,2022-07-18,20,31.0,1.106755492720405
367,2022-07-18,21,0.0,0.0
367,2022-07-18,22,0.0,0.0
367,2022-07-18,23,0.0,0.0
367,2022-07-19,0,0.0,0.0
