ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
401,2022-07-18,1,0.0,0.0
401,2022-07-18,2,0.0,0.0
401,2022-07-18,3,0.0,0.0
401,2022-07-18,4,1.0,0.15031265031265031
401,2022-07-18,5,0.0,0.0
401,2022-07-18,6,0.0,0.0
401,2022-07-18,7,0.0,0.0
401,2022-07-18,8,9.0,1.3528138528138527
401,2022-07-18,9,27.0,4.058441558441558
401,2022-07-18,10,46.0,6.914381914381915
401,2022-07-18,11,34.0,5.110630110630111
401,2022-07-18,12,36.0,5.411255411255411
401,2022-07-18,13,30.0,4.509379509379509
401,2022-07-18,14,56.0,8.417508417508419
401,2022-07-18,15,55.0,8.267195767195767
401,2022-07-18,16,92.0,13.82876382876383
401,2022-07-18,17,159.0,23.8997113997114
401,2022-07-18,18,60.0,9.018759018759019
401,2022-07-18,19,135.0,20.29220779220779
401,2022-07-18,20,113.0,16.985329485329487
401,2022-07-18,21,28.0,4.208754208754209
401,2022-07-18,22,0.0,0.0
401,2022-07-18,23,0.0,0.0
401,2022-07-19,0,0.0,0.0
