ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
2371,2022-07-18,1,0.0,0.0
2371,2022-07-18,2,0.0,0.0
2371,2022-07-18,3,0.0,0.0
2371,2022-07-18,4,0.5,0.019230769230769232
2371,2022-07-18,5,0.0,0.0
2371,2022-07-18,6,3.5,0.1346153846153846
2371,2022-07-18,7,95.0,3.653846153846154
2371,2022-07-18,8,140.5,5.403846153846153
2371,2022-07-18,9,161.5,6.211538461538462
2371,2022-07-18,10,281.0,10.807692307692307
2371,2022-07-18,11,355.5,13.673076923076923
2371,2022-07-18,12,280.5,10.788461538461538
2371,2022-07-18,13,439.0,16.884615384615383
2371,2022-07-18,14,370.5,14.249999999999998
2371,2022-07-18,15,391.5,15.057692307692308
2371,2022-07-18,16,272.0,10.461538461538462
2371,2022-07-18,17,577.0,22.192307692307693
2371,2022-07-18,18,226.0,8.692307692307692
2371,2022-07-18,19,171.5,6.596153846153846
2371,2022-07-18,20,33.5,1.2884615384615385
2371,2022-07-18,21,0.0,0.0
2371,2022-07-18,22,0.0,0.0
2371,2022-07-18,23,0.0,0.0
2371,2022-07-19,0,0.0,0.0
