ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
2810,2022-07-18,1,0.0,0.0
2810,2022-07-18,2,0.0,0.0
2810,2022-07-18,3,0.0,0.0
2810,2022-07-18,4,0.0,0.0
2810,2022-07-18,5,0.0,0.0
2810,2022-07-18,6,3.125,0.04161927618418494
2810,2022-07-18,7,112.125,1.4932996294885557
2810,2022-07-18,8,199.375,2.655309820550999
2810,2022-07-18,9,143.375,1.909492391330405
2810,2022-07-18,10,144.5,1.9244753307567117
2810,2022-07-18,11,159.0,2.1175887722513296
2810,2022-07-18,12,428.375,5.705170379328072
2810,2022-07-18,13,619.5,8.250605310752823
2810,2022-07-18,14,621.125,8.272247334368599
2810,2022-07-18,15,502.75,6.695709152511673
2810,2022-07-18,16,1036.375,13.802616753723093
2810,2022-07-18,17,1062.875,14.155548215764982
2810,2022-07-18,18,626.0,8.337173405215928
2810,2022-07-18,19,529.375,7.050305385600929
2810,2022-07-18,20,134.375,1.7896288759199526
2810,2022-07-18,21,20.875,0.2780167649103554
2810,2022-07-18,22,0.0,0.0
2810,2022-07-18,23,0.0,0.0
2810,2022-07-19,0,0.0,0.0
