ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
509,2022-07-01,1,0.0,0.0
509,2022-07-01,2,0.0,0.0
509,2022-07-01,3,0.0,0.0
509,2022-07-01,4,0.0,0.0
509,2022-07-01,5,0.0,0.0
509,2022-07-01,6,0.0,0.0
509,2022-07-01,7,2.25,0.32795009328358204
509,2022-07-01,8,35.5,5.174323694029851
509,2022-07-01,9,113.0,16.470382462686565
509,2022-07-01,10,182.5,26.60039645522388
509,2022-07-01,11,272.25,39.681961287313435
509,2022-07-01,12,321.0,46.787546641791046
509,2022-07-01,13,360.5,52.5448927238806
509,2022-07-01,14,366.25,53.38298740671642
509,2022-07-01,15,317.25,46.240963152985074
509,2022-07-01,16,328.75,47.917152518656714
509,2022-07-01,17,291.75,42.52419542910448
509,2022-07-01,18,113.5,16.54326026119403
509,2022-07-01,19,89.25,13.008687033582088
509,2022-07-01,20,77.25,11.259619869402984
509,2022-07-01,21,29.5,4.299790111940299
509,2022-07-01,22,0.25,0.03643889925373134
509,2022-07-01,23,0.0,0.0
509,2022-07-02,0,0.0,0.0
509,2022-07-02,1,0.0,0.0
509,2022-07-02,2,0.0,0.0
509,2022-07-02,3,0.25,0.03643889925373134
509,2022-07-02,4,0.0,0.0
509,2022-07-02,5,0.0,0.0
509,2022-07-02,6,0.0,0.0
509,2022-07-02,7,1.5,0.21863339552238803
509,2022-07-02,8,14.0,2.040578358208955
509,2022-07-02,9,62.25,9.073285914179104
509,2022-07-02,10,70.5,10.275769589552239
509,2022-07-02,11,183.75,26.782590951492537
509,2022-07-02,12,275.5,40.155666977611936
509,2022-07-02,13,307.0,44.74696828358209
509,2022-07-02,14,269.75,39.31757229477611
509,2022-07-02,15,302.25,44.054629197761194
509,2022-07-02,16,240.5,35.05422108208955
509,2022-07-02,17,269.0,39.208255597014926
509,2022-07-02,18,176.25,25.689423973880594
509,2022-07-02,19,194.25,28.313024720149254
509,2022-07-02,20,109.75,15.996676772388058
509,2022-07-02,21,18.0,2.6236007462686564
509,2022-07-02,22,0.5,0.07287779850746268
509,2022-07-02,23,0.0,0.0
509,2022-07-03,0,0.0,0.0
509,2022-07-03,1,0.0,0.0
509,2022-07-03,2,0.0,0.0
509,2022-07-03,3,0.0,0.0
509,2022-07-03,4,0.0,0.0
509,2022-07-03,5,0.0,0.0
509,2022-07-03,6,0.0,0.0
509,2022-07-03,7,1.0,0.14575559701492535
509,2022-07-03,8,18.25,2.660039645522388
509,2022-07-03,9,38.25,5.575151585820895
509,2022-07-03,10,78.75,11.478253264925373
509,2022-07-03,11,122.75,17.89149953358209
509,2022-07-03,12,253.0,36.87616604477611
509,2022-07-03,13,277.25,40.41073927238806
509,2022-07-03,14,283.25,41.28527285447761
509,2022-07-03,15,410.25,59.79623367537313
509,2022-07-03,16,388.25,56.58961054104478
509,2022-07-03,17,368.25,53.67449860074627
509,2022-07-03,18,303.5,44.236823694029844
509,2022-07-03,19,215.5,31.410331156716413
509,2022-07-03,20,103.5,15.085704291044774
509,2022-07-03,21,24.25,3.5345732276119404
509,2022-07-03,22,0.5,0.07287779850746268
509,2022-07-03,23,0.0,0.0
509,2022-07-04,0,0.0,0.0
509,2022-07-04,1,0.0,0.0
509,2022-07-04,2,0.0,0.0
509,2022-07-04,3,0.0,0.0
509,2022-07-04,4,0.0,0.0
509,2022-07-04,5,0.0,0.0
509,2022-07-04,6,0.0,0.0
509,2022-07-04,7,2.25,0.32795009328358204
509,2022-07-04,8,41.5,6.048857276119403
509,2022-07-04,9,140.75,20.515100279850746
509,2022-07-04,10,242.25,35.30929337686567
509,2022-07-04,11,314.25,45.8036963619403
509,2022-07-04,12,369.75,53.89313199626865
509,2022-07-04,13,403.25,58.77594449626865
509,2022-07-04,14,426.75,62.2012010261194
509,2022-07-04,15,434.0,63.257929104477604
509,2022-07-04,16,406.75,59.28608908582089
509,2022-07-04,17,354.25,51.633920242537314
509,2022-07-04,18,288.5,42.05048973880597
509,2022-07-04,19,193.5,28.203708022388057
509,2022-07-04,20,101.75,14.830631996268655
509,2022-07-04,21,22.5,3.2795009328358207
509,2022-07-04,22,0.25,0.03643889925373134
509,2022-07-04,23,0.0,0.0
509,2022-07-05,0,0.0,0.0
509,2022-07-05,1,0.0,0.0
509,2022-07-05,2,0.0,0.0
509,2022-07-05,3,0.0,0.0
509,2022-07-05,4,0.0,0.0
509,2022-07-05,5,0.0,0.0
509,2022-07-05,6,0.0,0.0
509,2022-07-05,7,2.0,0.2915111940298507
509,2022-07-05,8,27.0,3.935401119402985
509,2022-07-05,9,77.0,11.223180970149253
509,2022-07-05,10,196.25,28.604535914179102
509,2022-07-05,11,312.25,45.512185167910445
509,2022-07-05,12,391.25,57.026877332089555
509,2022-07-05,13,410.25,59.79623367537313
509,2022-07-05,14,473.25,68.97883628731343
509,2022-07-05,15,335.0,48.82812499999999
509,2022-07-05,16,130.5,19.02110541044776
509,2022-07-05,17,60.25,8.781774720149253
509,2022-07-05,18,52.0,7.579291044776119
509,2022-07-05,19,51.75,7.542852145522387
509,2022-07-05,20,66.0,9.619869402985074
509,2022-07-05,21,5.75,0.8380946828358209
509,2022-07-05,22,0.75,0.10931669776119401
509,2022-07-05,23,0.0,0.0
509,2022-07-06,0,0.0,0.0
509,2022-07-06,1,0.0,0.0
509,2022-07-06,2,0.0,0.0
509,2022-07-06,3,0.0,0.0
509,2022-07-06,4,0.0,0.0
509,2022-07-06,5,0.0,0.0
509,2022-07-06,6,0.0,0.0
509,2022-07-06,7,4.0,0.5830223880597014
509,2022-07-06,8,37.25,5.42939598880597
509,2022-07-06,9,91.75,13.373076026119401
509,2022-07-06,10,216.25,31.51964785447761
509,2022-07-06,11,263.0,38.33372201492537
509,2022-07-06,12,345.0,50.28568097014925
509,2022-07-06,13,337.25,49.15607509328358
509,2022-07-06,14,411.0,59.90555037313432
509,2022-07-06,15,316.5,46.13164645522388
509,2022-07-06,16,318.75,46.459596548507456
509,2022-07-06,17,371.5,54.14820429104478
509,2022-07-06,18,261.5,38.11508861940298
509,2022-07-06,19,235.5,34.325443097014926
509,2022-07-06,20,64.5,9.401236007462686
509,2022-07-06,21,31.25,4.554862406716418
509,2022-07-06,22,0.75,0.10931669776119401
509,2022-07-06,23,0.0,0.0
509,2022-07-07,0,0.0,0.0
509,2022-07-07,1,0.0,0.0
509,2022-07-07,2,0.0,0.0
509,2022-07-07,3,0.0,0.0
509,2022-07-07,4,0.0,0.0
509,2022-07-07,5,0.0,0.0
509,2022-07-07,6,0.0,0.0
509,2022-07-07,7,1.25,0.1821944962686567
509,2022-07-07,8,21.75,3.1701842350746268
509,2022-07-07,9,86.25,12.571420242537313
509,2022-07-07,10,149.25,21.75402285447761
509,2022-07-07,11,180.0,26.236007462686565
509,2022-07-07,12,140.25,20.442222481343283
509,2022-07-07,13,320.0,46.64179104477611
509,2022-07-07,14,400.75,58.411555503731336
509,2022-07-07,15,448.75,65.40782416044776
509,2022-07-07,16,439.5,64.05958488805969
509,2022-07-07,17,391.25,57.026877332089555
509,2022-07-07,18,313.5,45.6943796641791
509,2022-07-07,19,156.0,22.737873134328357
509,2022-07-07,20,102.5,14.93994869402985
509,2022-07-07,21,24.25,3.5345732276119404
509,2022-07-07,22,0.75,0.10931669776119401
509,2022-07-07,23,0.0,0.0
509,2022-07-08,0,0.0,0.0
509,2022-07-08,1,0.0,0.0
509,2022-07-08,2,0.0,0.0
509,2022-07-08,3,0.0,0.0
509,2022-07-08,4,0.0,0.0
509,2022-07-08,5,0.0,0.0
509,2022-07-08,6,0.0,0.0
509,2022-07-08,7,2.0,0.2915111940298507
509,2022-07-08,8,35.25,5.137884794776119
509,2022-07-08,9,109.0,15.887360074626864
509,2022-07-08,10,180.5,26.308885261194025
509,2022-07-08,11,297.5,43.3622901119403
509,2022-07-08,12,367.75,53.601620802238806
509,2022-07-08,13,365.5,53.27367070895522
509,2022-07-08,14,365.75,53.310109608208954
509,2022-07-08,15,243.25,35.455048973880594
509,2022-07-08,16,204.25,29.770580690298505
509,2022-07-08,17,180.5,26.308885261194025
509,2022-07-08,18,106.0,15.450093283582088
509,2022-07-08,19,14.75,2.1498950559701493
509,2022-07-08,20,26.5,3.862523320895522
509,2022-07-08,21,5.5,0.8016557835820896
509,2022-07-08,22,0.0,0.0
509,2022-07-08,23,0.0,0.0
509,2022-07-09,0,0.0,0.0
509,2022-07-09,1,0.0,0.0
509,2022-07-09,2,0.0,0.0
509,2022-07-09,3,0.0,0.0
509,2022-07-09,4,0.0,0.0
509,2022-07-09,5,0.0,0.0
509,2022-07-09,6,0.0,0.0
509,2022-07-09,7,0.5,0.07287779850746268
509,2022-07-09,8,19.5,2.8422341417910446
509,2022-07-09,9,71.25,10.385086287313431
509,2022-07-09,10,231.0,33.66954291044776
509,2022-07-09,11,272.25,39.681961287313435
509,2022-07-09,12,377.5,55.02273787313432
509,2022-07-09,13,428.0,62.38339552238805
509,2022-07-09,14,466.0,67.92210820895522
509,2022-07-09,15,440.75,64.24177938432835
509,2022-07-09,16,373.0,54.36683768656716
509,2022-07-09,17,290.0,42.26912313432835
509,2022-07-09,18,279.5,40.73868936567164
509,2022-07-09,19,234.0,34.10680970149254
509,2022-07-09,20,124.0,18.073694029850746
509,2022-07-09,21,30.25,4.409106809701492
509,2022-07-09,22,1.0,0.14575559701492535
509,2022-07-09,23,0.0,0.0
509,2022-07-10,0,0.0,0.0
509,2022-07-10,1,0.0,0.0
509,2022-07-10,2,0.0,0.0
509,2022-07-10,3,0.0,0.0
509,2022-07-10,4,0.0,0.0
509,2022-07-10,5,0.0,0.0
509,2022-07-10,6,0.0,0.0
509,2022-07-10,7,2.25,0.32795009328358204
509,2022-07-10,8,32.5,4.737056902985074
509,2022-07-10,9,139.0,20.260027985074625
509,2022-07-10,10,256.5,37.38631063432835
509,2022-07-10,11,339.25,49.44758628731343
509,2022-07-10,12,393.25,57.3183885261194
509,2022-07-10,13,433.0,63.112173507462686
509,2022-07-10,14,454.0,66.17304104477611
509,2022-07-10,15,475.25,69.27034748134328
509,2022-07-10,16,449.75,65.55357975746269
509,2022-07-10,17,413.0,60.19706156716418
509,2022-07-10,18,321.75,46.89686333955223
509,2022-07-10,19,227.75,33.19583722014925
509,2022-07-10,20,114.75,16.725454757462686
509,2022-07-10,21,26.5,3.862523320895522
509,2022-07-10,22,0.5,0.07287779850746268
509,2022-07-10,23,0.0,0.0
509,2022-07-11,0,0.0,0.0
509,2022-07-11,1,0.0,0.0
509,2022-07-11,2,0.0,0.0
509,2022-07-11,3,0.0,0.0
509,2022-07-11,4,0.25,0.03643889925373134
509,2022-07-11,5,0.0,0.0
509,2022-07-11,6,0.0,0.0
509,2022-07-11,7,2.5,0.3643889925373134
509,2022-07-11,8,36.75,5.356518190298507
509,2022-07-11,9,136.0,19.82276119402985
509,2022-07-11,10,247.5,36.07451026119403
