ProjectID,Date,"Hour (Eastern Time, Daylight-Adjusted)",Electricity Generated,Capacity Factor
,YYYY-MM-DD,hr,kW,%
504,2022-07-18,1,0.0,0.0
504,2022-07-18,2,0.0,0.0
504,2022-07-18,3,0.0,0.0
504,2022-07-18,4,0.0,0.0
504,2022-07-18,5,0.0,0.0
504,2022-07-18,6,0.0,0.0
504,2022-07-18,7,1.0,0.10574960608271734
504,2022-07-18,8,43.0,4.547233061556845
504,2022-07-18,9,53.0,5.604729122384019
504,2022-07-18,10,65.0,6.873724395376628
504,2022-07-18,11,109.5,11.579581866057548
504,2022-07-18,12,97.5,10.31058659306494
504,2022-07-18,13,77.0,8.142719668369235
504,2022-07-18,14,90.0,9.517464547444561
504,2022-07-18,15,208.5,22.048792868246565
504,2022-07-18,16,156.5,16.549813351945264
504,2022-07-18,17,132.5,14.011822805960048
504,2022-07-18,18,164.5,17.395810200607002
504,2022-07-18,19,47.5,5.023106288929074
504,2022-07-18,20,71.5,7.56109683491429
504,2022-07-18,21,12.5,1.3218700760339668
504,2022-07-18,22,0.0,0.0
504,2022-07-18,23,0.0,0.0
504,2022-07-19,0,0.0,0.0
